Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C231       SMD_0805_CAPC2012X145N   2511.811mil    901.575mil   2511.811mil    901.575mil   2511.811mil    866.142mil  T         90.00 22uF           
C225       SMD_1210_CAPC3225X279N   3082.677mil   2846.457mil   3082.677mil   2846.457mil   3141.732mil   2846.457mil  T        180.00 220uF          
C224       SMD_1210_CAPC3225X279N     165.48mil   2906.881mil     165.48mil   2906.881mil    106.425mil   2906.881mil  T          0.00 220uF          
C223       SMD_1210_CAPC3225X279N     165.48mil   2749.401mil     165.48mil   2749.401mil    106.425mil   2749.401mil  T          0.00 220uF          
C222       SMD_1210_CAPC3225X279N     165.48mil   2591.921mil     165.48mil   2591.921mil    106.425mil   2591.921mil  T          0.00 220uF          
C221       SMD_1210_CAPC3225X279N   2165.354mil    472.441mil   2165.354mil    472.441mil   2106.299mil    472.441mil  T          0.00 220uF          
C220       SMD_1210_CAPC3225X279N   1889.764mil     196.85mil   1889.764mil     196.85mil   1889.764mil    255.905mil  T        270.00 220uF          
C22        SMD_0603_CAPC1608X95N   2354.782mil    3202.35mil   2354.782mil    3202.35mil   2386.278mil    3202.35mil  T        180.00 10uF           
C219       SMD_1210_CAPC3225X279N     196.85mil    472.441mil     196.85mil    472.441mil    255.905mil    472.441mil  T        180.00 220uF          
C218       SMD_1210_CAPC3225X279N   2165.354mil   1574.803mil   2165.354mil   1574.803mil   2106.299mil   1574.803mil  T          0.00 220uF          
C217       SMD_1210_CAPC3225X279N   2165.354mil   1732.284mil   2165.354mil   1732.284mil   2106.299mil   1732.284mil  T          0.00 220uF          
C216       SMD_1210_CAPC3225X279N    787.402mil     196.85mil    787.402mil     196.85mil    787.402mil    255.905mil  T        270.00 220uF          
C215       SMD_1210_CAPC3225X279N     196.85mil    944.882mil     196.85mil    944.882mil    255.905mil    944.882mil  T        180.00 220uF          
C214       SMD_1210_CAPC3225X279N     196.85mil    787.402mil     196.85mil    787.402mil    255.905mil    787.402mil  T        180.00 220uF          
C213       SMD_1210_CAPC3225X279N     196.85mil    629.921mil     196.85mil    629.921mil    255.905mil    629.921mil  T        180.00 220uF          
C212       SMD_1210_CAPC3225X279N     196.85mil   1417.323mil     196.85mil   1417.323mil    255.905mil   1417.323mil  T        180.00 220uF          
C211       SMD_1210_CAPC3225X279N     196.85mil   1259.842mil     196.85mil   1259.842mil    255.905mil   1259.842mil  T        180.00 220uF          
C210       SMD_1210_CAPC3225X279N     196.85mil   1102.362mil     196.85mil   1102.362mil    255.905mil   1102.362mil  T        180.00 220uF          
C209       SMD_1210_CAPC3225X279N     196.85mil   1889.764mil     196.85mil   1889.764mil    255.905mil   1889.764mil  T        180.00 220uF          
C208       SMD_1210_CAPC3225X279N     196.85mil   1732.284mil     196.85mil   1732.284mil    255.905mil   1732.284mil  T        180.00 220uF          
C207       SMD_1210_CAPC3225X279N     196.85mil   1574.803mil     196.85mil   1574.803mil    255.905mil   1574.803mil  T        180.00 220uF          
C206       SMD_1210_CAPC3225X279N   2165.354mil   1889.764mil   2165.354mil   1889.764mil   2106.299mil   1889.764mil  T          0.00 220uF          
C204       SMD_1210_CAPC3225X279N   2165.354mil   1102.362mil   2165.354mil   1102.362mil   2106.299mil   1102.362mil  T          0.00 220uF          
C201       SMD_1210_CAPC3225X279N   2165.354mil   1259.842mil   2165.354mil   1259.842mil   2106.299mil   1259.842mil  T          0.00 220uF          
C2         SMD_0603_CAPC1608X95N   2925.197mil    692.913mil   2925.197mil    692.913mil   2956.693mil    692.913mil  T        180.00 10uF           
C198       SMD_1210_CAPC3225X279N   2165.354mil   1417.323mil   2165.354mil   1417.323mil   2106.299mil   1417.323mil  T          0.00 220uF          
C196       SMD_1210_CAPC3225X279N   2165.354mil    629.921mil   2165.354mil    629.921mil   2106.299mil    629.921mil  T          0.00 220uF          
C195       SMD_1210_CAPC3225X279N    897.764mil   2434.441mil    897.764mil   2434.441mil    838.709mil   2434.441mil  T          0.00 220uF          
C194       SMD_1210_CAPC3225X279N   2165.354mil    787.402mil   2165.354mil    787.402mil   2106.299mil    787.402mil  T          0.00 220uF          
C193       SMD_1210_CAPC3225X279N   2165.354mil    944.882mil   2165.354mil    944.882mil   2106.299mil    944.882mil  T          0.00 220uF          
C192       SMD_1210_CAPC3225X279N   1102.362mil   2169.291mil   1102.362mil   2169.291mil   1102.362mil   2110.236mil  T         90.00 220uF          
C191       SMD_1210_CAPC3225X279N   1417.323mil     196.85mil   1417.323mil     196.85mil   1417.323mil    255.905mil  T        270.00 220uF          
C190       SMD_1210_CAPC3225X279N   1574.803mil     196.85mil   1574.803mil     196.85mil   1574.803mil    255.905mil  T        270.00 220uF          
C174       SMD_1210_CAPC3225X279N   1574.803mil   2169.291mil   1574.803mil   2169.291mil   1574.803mil   2110.236mil  T         90.00 220uF          
C17        SMD_0603_CAPC1608X95N   2582.677mil   1299.213mil   2582.677mil   1299.213mil   2582.677mil   1267.716mil  T         90.00 100nF          
C165       SMD_1210_CAPC3225X279N   1732.283mil     196.85mil   1732.283mil     196.85mil   1732.283mil    255.905mil  T        270.00 220uF          
C164       SMD_1210_CAPC3225X279N    944.882mil     196.85mil    944.882mil     196.85mil    944.882mil    255.905mil  T        270.00 220uF          
C163       SMD_1210_CAPC3225X279N   1102.362mil     196.85mil   1102.362mil     196.85mil   1102.362mil    255.905mil  T        270.00 220uF          
C162       SMD_1210_CAPC3225X279N   1259.842mil     196.85mil   1259.842mil     196.85mil   1259.842mil    255.905mil  T        270.00 220uF          
C161       SMD_1210_CAPC3225X279N    472.441mil     196.85mil    472.441mil     196.85mil    472.441mil    255.905mil  T        270.00 220uF          
C160       SMD_1210_CAPC3225X279N    629.921mil     196.85mil    629.921mil     196.85mil    629.921mil    255.905mil  T        270.00 220uF          
C16        SMD_0805_CAPC2012X145N   2511.811mil   1307.087mil   2511.811mil   1307.087mil   2511.811mil   1271.653mil  T         90.00 22uF           
C159       SMD_1210_CAPC3225X279N   1259.842mil   2169.291mil   1259.842mil   2169.291mil   1259.842mil   2110.236mil  T         90.00 220uF          
C158       SMD_1210_CAPC3225X279N   2440.937mil   2169.202mil   2440.937mil   2169.202mil   2440.937mil   2110.147mil  T         90.00 220uF          
C157       SMD_1210_CAPC3225X279N   1630.047mil   2434.441mil   1630.047mil   2434.441mil   1570.992mil   2434.441mil  T          0.00 220uF          
C156       SMD_1210_CAPC3225X279N   1732.283mil   2169.291mil   1732.283mil   2169.291mil   1732.283mil   2110.236mil  T         90.00 220uF          
C15        SMD_0603_CAPC1608X95N   3094.488mil   1649.606mil   3094.488mil   1649.606mil   3094.488mil   1681.102mil  T        270.00 10uF           
C140       SMD_1210_CAPC3225X279N   1889.764mil   2169.291mil   1889.764mil   2169.291mil   1889.764mil   2110.236mil  T         90.00 220uF          
C14        SMD_0805_CAPC2012X145N   2799.213mil       1500mil   2799.213mil       1500mil   2799.213mil   1464.567mil  T         90.00 22uF           
C134       SMD_1210_CAPC3225X270N    1618.11mil   3755.905mil    1618.11mil   3755.905mil   1677.165mil   3755.905mil  T        180.00 100uF          
C133       SMD_1210_CAPC3225X270N   1444.882mil    3803.15mil   1444.882mil    3803.15mil   1444.882mil   3862.205mil  T        270.00 100uF          
C132       SMD_1210_CAPC3225X279N   2598.417mil   2169.202mil   2598.417mil   2169.202mil   2598.417mil   2110.147mil  T         90.00 220uF          
C13        SMD_1210_CAPC3225X279N   2692.913mil   1523.622mil   2692.913mil   1523.622mil   2692.913mil   1582.677mil  T        270.00 220uF          
C125       SMD_0603_CAPC1608X95N   1625.984mil   3299.213mil   1625.984mil   3299.213mil   1625.984mil   3267.716mil  T         90.00 220nF          
C121       SMD_0603_CAPC1608X95N   1622.498mil   3096.051mil   1622.498mil   3096.051mil   1591.002mil   3096.051mil  T          0.00 100nF          
C12        SMD_0603_CAPC1608X95N   3173.425mil   2055.118mil   3173.425mil   2055.118mil   3173.425mil   2023.622mil  T         90.00 10uF           
C117       SMD_0603_CAPC1608X95N   1622.498mil    3202.35mil   1622.498mil    3202.35mil   1653.995mil    3202.35mil  T        180.00 10uF           
C11        SMD_0603_CAPC1608X95N   3311.024mil   1194.882mil   3311.024mil   1194.882mil    3342.52mil   1194.882mil  T        180.00 18pF           
C102       SMD_1210_CAPC3225X270N    885.827mil   3440.945mil    885.827mil   3440.945mil    944.882mil   3440.945mil  T        180.00 100uF          
C101       SMD_1210_CAPC3225X270N    885.827mil   3598.425mil    885.827mil   3598.425mil    944.882mil   3598.425mil  T        180.00 100uF          
C10        SMD_0603_CAPC1608X95N   3435.039mil   1194.882mil   3435.039mil   1194.882mil   3403.543mil   1194.882mil  T          0.00 18pF           
C1         SMD_0603_CAPC1608X95N   2724.409mil   1299.213mil   2724.409mil   1299.213mil   2724.409mil   1267.716mil  T         90.00 10uF           

